62	141		
500			
	1.7	1.39E+05	2.90E-08
	1.8	1.10E+05	3.27E-08
	1.9	8.87E+04	3.67E-08
	2	7.20E+04	4.08E-08
	2.1	5.90E+04	4.52E-08
	2.2	4.88E+04	4.99E-08
	2.3	4.07E+04	5.47E-08
	2.4	3.42E+04	5.98E-08
	2.5	2.89E+04	6.51E-08
	2.6	2.46E+04	7.06E-08
	2.7	2.11E+04	7.63E-08
	2.8	1.81E+04	8.22E-08
	2.9	1.57E+04	8.84E-08
	3	1.36E+04	9.48E-08
	3.1	1.19E+04	1.01E-07
	3.2	1.04E+04	1.08E-07
	3.3	9.15E+03	1.15E-07
	3.4	8.07E+03	1.22E-07
	3.5	7.14E+03	1.30E-07
	3.6	6.34E+03	1.38E-07
	3.7	5.64E+03	1.45E-07
	3.8	5.04E+03	1.54E-07
	3.9	4.51E+03	1.62E-07
	4	4.05E+03	1.70E-07
	4.1	3.64E+03	1.79E-07
	4.2	3.28E+03	1.88E-07
	4.3	2.96E+03	1.97E-07
	4.4	2.68E+03	2.06E-07
	4.5	2.43E+03	2.16E-07
	4.6	2.20E+03	2.26E-07
	4.7	2.01E+03	2.35E-07
	4.8	1.83E+03	2.46E-07
	4.9	1.67E+03	2.56E-07
	5	1.52E+03	2.66E-07
	5.1	1.39E+03	2.77E-07
	5.2	1.28E+03	2.88E-07
	5.3	1.17E+03	2.99E-07
	5.4	1.08E+03	3.10E-07
	5.5	9.90E+02	3.22E-07
	5.6	9.11E+02	3.33E-07
	5.7	8.40E+02	3.45E-07
	5.8	7.75E+02	3.57E-07
	5.9	7.15E+02	3.69E-07
	6	6.61E+02	3.82E-07
	6.1	6.12E+02	3.94E-07
	6.2	5.66E+02	4.07E-07
	6.3	5.25E+02	4.20E-07
	6.4	4.87E+02	4.33E-07
	6.5	4.52E+02	4.46E-07
	6.6	4.20E+02	4.60E-07
	6.7	3.90E+02	4.73E-07
	6.8	3.63E+02	4.87E-07
	6.9	3.38E+02	5.01E-07
	7	3.14E+02	5.15E-07
	7.1	2.93E+02	5.30E-07
	7.2	2.73E+02	5.44E-07
	7.3	2.55E+02	5.59E-07
	7.4	2.38E+02	5.74E-07
	7.5	2.22E+02	5.88E-07
	7.6	2.07E+02	6.04E-07
	7.7	1.94E+02	6.19E-07
	7.8	1.81E+02	6.34E-07
	7.9	1.70E+02	6.50E-07
	8	1.59E+02	6.66E-07
	8.1	1.49E+02	6.81E-07
	8.2	1.39E+02	6.97E-07
	8.3	1.30E+02	7.14E-07
	8.4	1.22E+02	7.30E-07
	8.5	1.15E+02	7.46E-07
	8.6	1.08E+02	7.63E-07
	8.7	1.01E+02	7.80E-07
	8.8	9.47E+01	7.96E-07
	8.9	8.89E+01	8.13E-07
	9	8.35E+01	8.31E-07
	9.1	7.84E+01	8.48E-07
	9.2	7.36E+01	8.65E-07
	9.3	6.92E+01	8.83E-07
	9.4	6.50E+01	9.00E-07
	9.5	6.11E+01	9.18E-07
	9.6	5.75E+01	9.36E-07
	9.7	5.41E+01	9.54E-07
	9.8	5.09E+01	9.72E-07
	9.9	4.78E+01	9.90E-07
	10	4.50E+01	1.01E-06
	10.1	4.24E+01	1.03E-06
	10.2	3.99E+01	1.05E-06
	10.3	3.75E+01	1.06E-06
	10.4	3.53E+01	1.08E-06
	10.5	3.33E+01	1.10E-06
	10.6	3.13E+01	1.12E-06
	10.7	2.95E+01	1.14E-06
	10.8	2.78E+01	1.16E-06
	10.9	2.62E+01	1.18E-06
	11	2.47E+01	1.20E-06
	11.1	2.32E+01	1.22E-06
	11.2	2.19E+01	1.24E-06
	11.3	2.06E+01	1.25E-06
	11.4	1.94E+01	1.27E-06
	11.5	1.83E+01	1.29E-06
	11.6	1.72E+01	1.31E-06
	11.7	1.62E+01	1.33E-06
	11.8	1.53E+01	1.35E-06
	11.9	1.44E+01	1.37E-06
	12	1.36E+01	1.39E-06
	12.1	1.28E+01	1.41E-06
	12.2	1.21E+01	1.43E-06
	12.3	1.14E+01	1.45E-06
	12.4	1.07E+01	1.47E-06
	12.5	1.01E+01	1.49E-06
	12.6	9.50E+00	1.51E-06
	12.7	8.95E+00	1.53E-06
	12.8	8.43E+00	1.55E-06
	12.9	7.94E+00	1.57E-06
	13	7.47E+00	1.59E-06
	13.1	7.04E+00	1.61E-06
	13.2	6.63E+00	1.63E-06
	13.3	6.24E+00	1.65E-06
	13.4	5.87E+00	1.67E-06
	13.5	5.53E+00	1.69E-06
	13.6	5.20E+00	1.71E-06
	13.7	4.90E+00	1.73E-06
	13.8	4.61E+00	1.75E-06
	13.9	4.34E+00	1.77E-06
	14	4.08E+00	1.79E-06
	14.1	3.84E+00	1.81E-06
	14.2	3.61E+00	1.83E-06
	14.3	3.39E+00	1.85E-06
	14.4	3.19E+00	1.86E-06
	14.5	3.00E+00	1.88E-06
	14.6	2.82E+00	1.90E-06
	14.7	2.65E+00	1.92E-06
	14.8	2.49E+00	1.94E-06
	14.9	2.34E+00	1.96E-06
	15	2.19E+00	1.98E-06
600			
	1	9.88E+05	1.12E-08
	1.1	6.74E+05	1.37E-08
	1.2	4.75E+05	1.66E-08
	1.3	3.44E+05	1.97E-08
	1.4	2.55E+05	2.30E-08
	1.5	1.93E+05	2.67E-08
	1.6	1.49E+05	3.06E-08
	1.7	1.16E+05	3.48E-08
	1.8	9.23E+04	3.92E-08
	1.9	7.40E+04	4.39E-08
	2	6.01E+04	4.89E-08
	2.1	4.92E+04	5.41E-08
	2.2	4.07E+04	5.97E-08
	2.3	3.39E+04	6.54E-08
	2.4	2.85E+04	7.15E-08
	2.5	2.41E+04	7.77E-08
	2.6	2.04E+04	8.43E-08
	2.7	1.75E+04	9.11E-08
	2.8	1.50E+04	9.82E-08
	2.9	1.30E+04	1.06E-07
	3	1.13E+04	1.13E-07
	3.1	9.82E+03	1.21E-07
	3.2	8.59E+03	1.29E-07
	3.3	7.54E+03	1.37E-07
	3.4	6.64E+03	1.46E-07
	3.5	5.87E+03	1.55E-07
	3.6	5.21E+03	1.64E-07
	3.7	4.63E+03	1.73E-07
	3.8	4.13E+03	1.83E-07
	3.9	3.69E+03	1.93E-07
	4	3.30E+03	2.03E-07
	4.1	2.97E+03	2.13E-07
	4.2	2.67E+03	2.23E-07
	4.3	2.41E+03	2.34E-07
