E=550		
5.6	6.98E+03	-4.69E-07
5.8	5.63E+03	-4.09E-07
6	4.55E+03	-4.94E-07
6.2	3.68E+03	-6.22E-07
6.4	2.98E+03	-6.15E-07
6.6	2.42E+03	-6.20E-07
6.8	1.96E+03	-7.47E-07
7	1.59E+03	-8.30E-07
7.2	1.29E+03	-8.24E-07
7.4	1.05E+03	-8.94E-07
7.6	8.49E+02	-1.03E-06
7.8	6.89E+02	-1.08E-06
8	5.59E+02	-1.10E-06
8.2	4.54E+02	-1.22E-06
8.4	3.69E+02	-1.33E-06
8.6	2.99E+02	-1.36E-06
8.8	2.43E+02	-1.43E-06
9	1.98E+02	-1.56E-06
9.2	1.62E+02	-1.63E-06
9.4	1.32E+02	-1.66E-06
9.6	1.08E+02	-1.75E-06
9.8	8.90E+01	-1.84E-06
10	7.35E+01	-1.87E-06
10.2	6.10E+01	-1.89E-06
10.4	5.09E+01	-1.94E-06
10.6	4.28E+01	-1.96E-06
10.8	3.62E+01	-1.93E-06
11	3.09E+01	-1.92E-06
11.2	2.65E+01	-1.91E-06
11.4	2.29E+01	-1.86E-06
11.6	2.00E+01	-1.81E-06
11.8	1.76E+01	-1.77E-06
12	1.55E+01	-1.73E-06
12.2	1.38E+01	-1.69E-06
12.4	1.23E+01	-1.66E-06
12.6	1.10E+01	-1.64E-06
12.8	9.88E+00	-1.64E-06
13	8.89E+00	-1.67E-06
13.2	8.01E+00	-1.70E-06
13.4	7.22E+00	-1.74E-06
13.6	6.50E+00	-1.82E-06
13.8	5.84E+00	-1.93E-06
14	5.25E+00	-2.03E-06
14.2	4.70E+00	-2.16E-06
14.4	4.20E+00	-2.34E-06
14.6	3.74E+00	-2.53E-06
14.8	3.32E+00	-2.72E-06
15	2.94E+00	-2.96E-06
E=700		
2	7.77E+05	-1.48E-07
2.2	5.23E+05	3.23E-07
2.4	3.62E+05	1.01E-07
2.6	2.56E+05	-3.43E-07
2.8	1.85E+05	-2.71E-08
3	1.36E+05	2.26E-07
3.2	1.01E+05	-1.32E-07
3.4	7.63E+04	-2.51E-07
3.6	5.81E+04	4.17E-08
3.8	4.46E+04	1.42E-08
4	3.44E+04	-2.47E-07
4.2	2.68E+04	-1.80E-07
4.4	2.09E+04	-2.76E-08
4.6	1.64E+04	-1.73E-07
4.8	1.29E+04	-2.99E-07
5	1.02E+04	-1.84E-07
5.2	8.10E+03	-1.66E-07
5.4	6.43E+03	-3.24E-07
5.6	5.12E+03	-3.46E-07
5.8	4.08E+03	-2.62E-07
6	3.25E+03	-3.35E-07
6.2	2.59E+03	-4.55E-07
6.4	2.07E+03	-4.25E-07
6.6	1.65E+03	-4.06E-07
6.8	1.32E+03	-5.24E-07
7	1.05E+03	-5.93E-07
7.2	8.42E+02	-5.59E-07
7.4	6.73E+02	-6.11E-07
7.6	5.38E+02	-7.36E-07
7.8	4.30E+02	-7.64E-07
8	3.44E+02	-7.66E-07
8.2	2.75E+02	-8.74E-07
8.4	2.21E+02	-9.78E-07
8.6	1.77E+02	-9.92E-07
8.8	1.43E+02	-1.05E-06
9	1.15E+02	-1.17E-06
9.2	9.36E+01	-1.24E-06
9.4	7.64E+01	-1.26E-06
9.6	6.27E+01	-1.34E-06
9.8	5.19E+01	-1.44E-06
10	4.32E+01	-1.46E-06
10.2	3.63E+01	-1.48E-06
10.4	3.08E+01	-1.53E-06
10.6	2.64E+01	-1.55E-06
10.8	2.27E+01	-1.54E-06
11	1.98E+01	-1.53E-06
11.2	1.73E+01	-1.52E-06
11.4	1.53E+01	-1.49E-06
11.6	1.35E+01	-1.46E-06
11.8	1.20E+01	-1.42E-06
12	1.07E+01	-1.37E-06
12.2	9.57E+00	-1.34E-06
12.4	8.55E+00	-1.30E-06
12.6	7.64E+00	-1.25E-06
12.8	6.82E+00	-1.22E-06
13	6.07E+00	-1.20E-06
13.2	5.40E+00	-1.17E-06
13.4	4.78E+00	-1.14E-06
13.6	4.22E+00	-1.13E-06
13.8	3.71E+00	-1.14E-06
14	3.25E+00	-1.12E-06
14.2	2.83E+00	-1.12E-06
14.4	2.46E+00	-1.16E-06
14.6	2.12E+00	-1.19E-06
14.8	1.82E+00	-1.21E-06
15	1.56E+00	-1.28E-06
E=750		
2	6.69E+05	-1.40E-07
2.2	4.48E+05	3.11E-07
2.4	3.08E+05	9.36E-08
2.6	2.17E+05	-3.43E-07
2.8	1.56E+05	-3.08E-08
3	1.14E+05	2.22E-07
3.2	8.42E+04	-1.37E-07
3.4	6.29E+04	-2.57E-07
3.6	4.75E+04	4.01E-08
3.8	3.61E+04	1.31E-08
4	2.76E+04	-2.54E-07
4.2	2.13E+04	-1.85E-07
4.4	1.64E+04	-2.58E-08
4.6	1.28E+04	-1.77E-07
4.8	9.94E+03	-3.09E-07
5	7.77E+03	-1.87E-07
5.2	6.08E+03	-1.66E-07
5.4	4.76E+03	-3.36E-07
5.6	3.74E+03	-3.60E-07
5.8	2.94E+03	-2.68E-07
6	2.31E+03	-3.47E-07
6.2	1.81E+03	-4.80E-07
6.4	1.43E+03	-4.46E-07
6.6	1.12E+03	-4.25E-07
6.8	8.82E+02	-5.59E-07
7	6.93E+02	-6.38E-07
7.2	5.45E+02	-5.99E-07
7.4	4.29E+02	-6.59E-07
7.6	3.38E+02	-8.05E-07
7.8	2.67E+02	-8.37E-07
8	2.11E+02	-8.36E-07
8.2	1.67E+02	-9.58E-07
8.4	1.33E+02	-1.07E-06
8.6	1.06E+02	-1.08E-06
8.8	8.57E+01	-1.13E-06
9	6.94E+01	-1.25E-06
9.2	5.67E+01	-1.30E-06
9.4	4.68E+01	-1.30E-06
9.6	3.89E+01	-1.35E-06
9.8	3.28E+01	-1.40E-06
10	2.78E+01	-1.39E-06
10.2	2.39E+01	-1.37E-06
10.4	2.06E+01	-1.37E-06
10.6	1.80E+01	-1.34E-06
10.8	1.58E+01	-1.30E-06
11	1.39E+01	-1.26E-06
11.2	1.23E+01	-1.22E-06
11.4	1.09E+01	-1.17E-06
11.6	9.64E+00	-1.14E-06
11.8	8.55E+00	-1.09E-06
12	7.56E+00	-1.04E-06
12.2	6.68E+00	-1.02E-06
12.4	5.88E+00	-9.92E-07
12.6	5.16E+00	-9.45E-07
12.8	4.50E+00	-9.24E-07
13	3.92E+00	-9.33E-07
13.2	3.39E+00	-9.13E-07
13.4	2.91E+00	-8.86E-07
13.6	2.49E+00	-9.10E-07
13.8	2.12E+00	-9.41E-07
14	1.79E+00	-9.33E-07
14.2	1.51E+00	-9.53E-07
14.4	1.26E+00	-1.03E-06
14.6	1.04E+00	-1.09E-06
14.8	8.61E-01	-1.12E-06
15	7.07E-01	-1.23E-06
E=800		
2	5.80E+05	-1.32E-07
2.2	3.86E+05	3.00E-07
2.4	2.64E+05	8.68E-08
2.6	1.85E+05	-3.43E-07
2.8	1.32E+05	-3.26E-08
3	9.57E+04	2.20E-07
3.2	7.02E+04	-1.39E-07
3.4	5.20E+04	-2.60E-07
3.6	3.89E+04	4.33E-08
3.8	2.93E+04	1.76E-08
4	2.22E+04	-2.57E-07
4.2	1.69E+04	-1.83E-07
4.4	1.29E+04	-1.41E-08
4.6	9.92E+03	-1.71E-07
4.8	7.63E+03	-3.08E-07
5	5.88E+03	-1.75E-07
5.2	4.54E+03	-1.48E-07
5.4	3.51E+03	-3.28E-07
5.6	2.72E+03	-3.51E-07
5.8	2.10E+03	-2.43E-07
6	1.63E+03	-3.26E-07
6.2	1.26E+03	-4.70E-07
6.4	9.75E+02	-4.24E-07
6.6	7.55E+02	-3.91E-07
6.8	5.85E+02	-5.37E-07
7	4.53E+02	-6.18E-07
7.2	3.52E+02	-5.60E-07
7.4	2.73E+02	-6.16E-07
7.6	2.13E+02	-7.70E-07
7.8	1.67E+02	-7.88E-07
8	1.31E+02	-7.66E-07
8.2	1.04E+02	-8.81E-07
8.4	8.27E+01	-9.81E-07
8.6	6.65E+01	-9.58E-07
8.8	5.41E+01	-9.78E-07
9	4.44E+01	-1.07E-06
9.2	3.69E+01	-1.08E-06
9.4	3.10E+01	-1.04E-06
9.6	2.64E+01	-1.06E-06
9.8	2.26E+01	-1.07E-06
10	1.96E+01	-1.03E-06
10.2	1.70E+01	-9.96E-07
10.4	1.49E+01	-9.74E-07
10.6	1.31E+01	-9.42E-07
10.8	1.15E+01	-9.15E-07
11	1.01E+01	-8.87E-07
11.2	8.88E+00	-8.48E-07
11.4	7.78E+00	-8.30E-07
11.6	6.80E+00	-8.27E-07
11.8	5.92E+00	-7.98E-07
12	5.12E+00	-7.72E-07
12.2	4.42E+00	-7.91E-07
12.4	3.78E+00	-8.01E-07
12.6	3.22E+00	-7.77E-07
12.8	2.73E+00	-7.93E-07
13	2.29E+00	-8.51E-07
13.2	1.91E+00	-8.68E-07
13.4	1.58E+00	-8.76E-07
13.6	1.30E+00	-9.61E-07
13.8	1.07E+00	-1.06E-06
14	8.65E-01	-1.11E-06
14.2	6.98E-01	-1.20E-06
14.4	5.61E-01	-1.39E-06
14.6	4.49E-01	-1.55E-06
14.8	3.59E-01	-1.68E-06
15	2.88E-01	-1.93E-06
E=850		
2	5.06E+05	-1.22E-07
2.2	3.35E+05	2.90E-07
2.4	2.28E+05	8.10E-08
2.6	1.59E+05	-3.42E-07
2.8	1.12E+05	-3.37E-08
3	8.07E+04	2.20E-07
3.2	5.87E+04	-1.41E-07
3.4	4.31E+04	-2.64E-07
3.6	3.19E+04	4.65E-08
3.8	2.38E+04	2.15E-08
4	1.78E+04	-2.62E-07
4.2	1.34E+04	-1.85E-07
4.4	1.02E+04	-5.02E-09
4.6	7.69E+03	-1.69E-07
4.8	5.84E+03	-3.16E-07
5	4.44E+03	-1.70E-07
5.2	3.38E+03	-1.38E-07
5.4	2.58E+03	-3.34E-07
5.6	1.96E+03	-3.58E-07
5.8	1.50E+03	-2.36E-07
6	1.14E+03	-3.26E-07
6.2	8.69E+02	-4.87E-07
6.4	6.62E+02	-4.33E-07
6.6	5.05E+02	-3.92E-07
6.8	3.86E+02	-5.56E-07
7	2.96E+02	-6.45E-07
7.2	2.27E+02	-5.73E-07
7.4	1.75E+02	-6.31E-07
7.6	1.36E+02	-7.96E-07
7.8	1.06E+02	-8.05E-07
8	8.39E+01	-7.67E-07
8.2	6.70E+01	-8.74E-07
8.4	5.40E+01	-9.56E-07
8.6	4.42E+01	-9.11E-07
8.8	3.66E+01	-9.06E-07
9	3.07E+01	-9.62E-07
9.2	2.60E+01	-9.48E-07
9.4	2.23E+01	-8.99E-07
9.6	1.92E+01	-8.89E-07
9.8	1.67E+01	-8.74E-07
10	1.45E+01	-8.39E-07
10.2	1.26E+01	-8.13E-07
10.4	1.10E+01	-7.82E-07
10.6	9.61E+00	-7.53E-07
10.8	8.34E+00	-7.49E-07
11	7.22E+00	-7.33E-07
11.2	6.22E+00	-6.97E-07
11.4	5.32E+00	-7.00E-07
11.6	4.53E+00	-7.25E-07
11.8	3.83E+00	-7.08E-07
12	3.22E+00	-6.96E-07
12.2	2.68E+00	-7.51E-07
12.4	2.22E+00	-7.93E-07
12.6	1.82E+00	-7.86E-07
12.8	1.48E+00	-8.38E-07
13	1.19E+00	-9.58E-07
13.2	9.57E-01	-1.02E-06
13.4	7.62E-01	-1.07E-06
13.6	6.03E-01	-1.24E-06
